,Fecha,TIPO GASTO,TC,TOTAL SAT
85,2022-01-01,MTTO COMPUTO,1.0,7335.84
91,2022-01-01,MTTO LOCAL,1.0,0.0
95,2022-01-01,TELEFONO,1.0,0.01
96,2022-01-01,TELEFONO,1.0,98.0
105,2022-01-01,HONORARIOS JURIDICOS,1.0,1087.44
106,2022-01-01,INSTALACION ELECTRICA,1.0,80000.0
107,2022-01-01,COMISION MIXTA,1.0,9374.49
111,2022-01-01,MTTO LOCAL,1.0,0.0
113,2022-01-01,NO DEDUCIBLE,1.0,627.0
114,2022-01-01,MTTO OFICINA ,1.0,29000.0
117,2022-01-01,ALIMENTOS,1.0,320.0
119,2022-01-01,MTTO MAQUINARIA,1.0,5000.01
120,2022-01-01,MTTO MAQUINARIA,1.0,14005.6
122,2022-01-01,SEGUROS,1.0,0.0
123,2022-01-01,PAPELERIA,1.0,1434.84
124,2022-01-01,ALIMENTOS,1.0,156.0
125,2022-01-01,PAQUETERIA,1.0,0.0
126,2022-01-01,MTTO COMPUTO,1.0,0.0
127,2022-01-01,GASOLINA,1.0,1196.92
128,2022-01-01,PAPELERIA,1.0,1716.8
130,2022-01-01,PAQUETERIA,1.0,4060.0
131,2022-01-01,MTTO COMPUTO,1.0,3089.08
132,2022-01-01,TELEFONO,1.0,0.0
133,2022-01-01,COMISION BANCARIA,1.0,2610.0
134,2022-01-01,MTTO LOCAL,1.0,204.3
135,2022-01-01,NO DEDUCIBLE,1.0,1987.0
136,2022-01-01,DERECHOS,1.0,896.2
137,2022-01-01,DERECHOS,1.0,4280.0
140,2022-01-01,HONORARIOS JURIDICOS,1.0,1149.03
142,2022-01-01,COMISION MIXTA,1.0,9905.47
145,2022-01-01,ALIMENTOS,1.0,183.0
146,2022-01-01,ALIMENTOS,1.0,183.0
147,2022-01-01,TELEFONO,1.0,0.01
148,2022-01-01,SUSCRIPCIONES,1.0,224.1
150,2022-01-01,HOSPEDAJE,1.0,510.0
152,2022-01-01,PAQUETERIA,1.0,0.0
155,2022-01-01,TELEFONO,1.0,0.0
156,2022-01-01,TELEFONO,1.0,0.0
158,2022-01-01,CAPACITACION,1.0,6700.0
164,2022-01-01,ENERGIA ELECTRICA,1.0,0.0
167,2022-01-01,HOSPEDAJE,1.0,510.0
174,2022-01-01,ALIMENTOS,1.0,156.0
175,2022-01-01,ALIMENTOS,1.0,160.0
176,2022-01-01,ALIMENTOS,1.0,185.0
180,2022-01-01,HOSPEDAJE,1.0,510.0
183,2022-01-01,IMSS/INFONAVIT,1.0,50486.44
185,2022-01-01,MENSAJERIA,1.0,210.0
188,2022-01-01,TELEFONO,1.0,3470.2
191,2022-01-01,MTTO MAQUINARIA,1.0,0.0
192,2022-01-01,GASOLINA,1.0,1010.04
193,2022-01-01,DERECHOS,1.0,3222.46
194,2022-01-01,GERENCIA ADMON,1.0,28600.0
195,2022-01-01,COMISION BANCARIA,1.0,0.0
196,2022-01-01,COMISION BANCARIA,1.0,21566.81
197,2022-01-01,GASOLINA,1.0,9129.62
199,2022-02-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
200,2022-02-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
201,2022-02-01,COMISION BANCARIA,1.0,1136.8
202,2022-02-01,COMISION BANCARIA,1.0,0.0
203,2022-02-01,HOSPEDAJE,1.0,390.0
204,2022-02-01,HOSPEDAJE,1.0,390.0
206,2022-02-01,DERECHOS,1.0,289.0
209,2022-02-01,MAQUINARIA,1.0,2400.0
210,2022-02-01,GASOLINA,1.0,1280.22
211,2022-02-01,PAQUETERIA,1.0,4060.0
212,2022-02-01,CAPACITACION,1.0,5270.0
213,2022-02-01,CAPACITACION,1.0,11600.0
215,2022-02-01,ALIMENTOS,1.0,127.0
216,2022-02-01,ALIMENTOS,1.0,246.0
217,2022-02-01,ALIMENTOS,1.0,298.0
218,2022-02-01,SUBCONTRATOS,1.0,0.0
220,2022-02-01,CASETAS,1.0,172.0
221,2022-02-01,ALIMENTOS,1.0,72.0
223,2022-02-01,PAQUETERIA,1.0,1209.0
224,2022-02-01,MTTO COMPUTO,1.0,30.0
225,2022-02-01,PEAJES,1.0,344.0
226,2022-02-01,IMSS/INFONAVIT,1.0,51327.23
227,2022-02-01,CASETAS,1.0,113.0
229,2022-02-01,PEAJES,1.0,524.0
230,2022-02-01,GASOLINA,1.0,815.6
231,2022-02-01,CASETAS,1.0,670.0
236,2022-02-01,MONITOREO CAMARAS ADT,1.0,1498.7
237,2022-02-01,COMISION MIXTA,1.0,21609.75
239,2022-02-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
240,2022-02-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
241,2022-02-01,COMISION BANCARIA,1.0,0.0
242,2022-02-01,COMISION BANCARIA,20.6134,0.0
243,2022-02-01,COMISION BANCARIA,1.0,0.0
246,2022-02-01,MTTO COMPUTO,1.0,2900.0
248,2022-02-01,SUSCRIPCIONES,1.0,0.0
249,2022-02-01,SUSCRIPCIONES,1.0,0.0
250,2022-02-01,SUSCRIPCIONES,1.0,0.0
251,2022-02-01,SUSCRIPCIONES,1.0,0.0
252,2022-02-01,SUSCRIPCIONES,1.0,0.0
253,2022-02-01,SUSCRIPCIONES,1.0,0.0
254,2022-02-01,SUSCRIPCIONES,1.0,0.0
255,2022-02-01,SUSCRIPCIONES,1.0,0.0
256,2022-02-01,SUSCRIPCIONES,1.0,0.0
257,2022-02-01,SUSCRIPCIONES,1.0,0.0
258,2022-02-01,SUSCRIPCIONES,1.0,0.0
259,2022-02-01,SUSCRIPCIONES,1.0,0.0
260,2022-02-01,SUSCRIPCIONES,1.0,0.0
261,2022-02-01,SUSCRIPCIONES,1.0,0.0
263,2022-02-01,PAQUETERIA,1.0,0.0
264,2022-02-01,SEGUROS,1.0,1717.25
265,2022-02-01,HONORARIOS JURIDICOS,1.0,2506.73
266,2022-02-01,MTTO COMPUTO,1.0,438.48
268,2022-02-01,SUSCRIPCIONES,1.0,-224.1
269,2022-02-01,PAQUETERIA,1.0,1878.97
270,2022-02-01,PAQUETERIA,1.0,4152.15
271,2022-02-01,TELEFONO,1.0,4889.35
272,2022-02-01,ALIMENTOS,1.0,78.0
273,2022-02-01,MONITOREO CAMARAS ADT,1.0,0.0
275,2022-02-01,MTTO LOCAL,1.0,302.1
276,2022-02-01,SUSCRIPCIONES,1.0,1600.0
277,2022-02-01,CAPACITACION,1.0,11600.0
280,2022-02-01,HONORARIOS JURIDICOS,1.0,2403.93
281,2022-02-01,MTTO COMPUTO,1.0,329.44
282,2022-02-01,MTTO COMPUTO,1.0,386.28
283,2022-02-01,COMISION MIXTA,1.0,20723.53
284,2022-02-01,GASOLINA,1.0,10348.0
287,2022-02-01,MTTO OFICINA ,1.0,464.0
291,2022-02-01,RENTA COPIADORA,1.0,0.0
293,2022-02-01,HONORARIOS CONTABLES,1.0,5100.01
295,2022-02-01,PAQUETERIA,1.0,2721.87
304,2022-02-01,MTTO LOCAL,1.0,558.9
305,2022-02-01,SUELDOS DIRECCION,1.0,48155.61
306,2022-02-01,DERECHOS,1.0,260.0
308,2022-02-01,TELEFONO,1.0,0.0
310,2022-02-01,PAQUETERIA,1.0,225.01
311,2022-02-01,ENERGIA ELECTRICA,1.0,5988.22
312,2022-02-01,ALIMENTOS,1.0,399.0
317,2022-02-01,NO DEDUCIBLE,1.0,3488.2
319,2022-02-01,GERENCIA ADMON,1.0,28600.0
320,2022-02-01,HONORARIOS JURIDICOS,1.0,1500.01
324,2022-02-01,HONORARIOS JURIDICOS,1.0,2754.18
325,2022-02-01,COMISION MIXTA,1.0,20468.02
329,2022-02-01,NO DEDUCIBLE,1.0,1145.45
331,2022-02-01,MTTO COMPUTO,1.0,7335.84
334,2022-02-01,PAQUETERIA,1.0,0.0
340,2022-02-01,MTTO COMPUTO,1.0,56.0
343,2022-02-01,DERECHOS,1.0,960.0
344,2022-02-01,DERECHOS,1.0,306.0
346,2022-02-01,PAPELERIA,1.0,6022.72
349,2022-02-01,PAPELERIA,1.0,3177.77
350,2022-02-01,TRANSPORTE,1.0,22.0
354,2022-02-01,TELEFONO,1.0,0.0
355,2022-02-01,RENTA COPIADORA,1.0,2320.0
356,2022-02-01,IMSS/INFONAVIT,1.0,26015.3
358,2022-02-01,PAQUETERIA,1.0,2756.43
359,2022-02-01,ALIMENTOS,1.0,117.0
361,2022-02-01,TELEFONO,1.0,0.0
362,2022-02-01,TELEFONO,1.0,0.0
364,2022-02-01,DERECHOS,1.0,4101.0
365,2022-02-01,SUSCRIPCIONES,1.0,2000.0
366,2022-02-01,PUBLICIDAD,1.0,1044.0
371,2022-02-01,MTTO COMPUTO,1.0,0.0
374,2022-02-01,HONORARIOS JURIDICOS,1.0,2355.14
375,2022-02-01,COMISION MIXTA,1.0,20302.86
380,2022-02-01,UNIFORMES,1.0,785.17
381,2022-02-01,MTTO COMPUTO,1.0,3089.08
383,2022-02-01,ARRENDAMIENTO LOCAL,1.0,24786.66
384,2022-02-01,NO DEDUCIBLE,1.0,1706.45
387,2022-02-01,PAQUETERIA,1.0,3838.5
392,2022-02-01,ANTICIPO COMPRA AUTO,1.0,5000.0
393,2022-02-01,NO DEDUCIBLE,1.0,305.0
396,2022-02-01,PAQUETERIA,1.0,225.01
397,2022-02-01,TELEFONO,1.0,0.0
398,2022-02-01,COMISION BANCARIA,1.0,0.0
400,2022-02-01,PAPELERIA,1.0,385.2
401,2022-02-01,TRANSPORTE,1.0,22.0
403,2022-02-01,ALIMENTOS,1.0,156.0
405,2022-02-01,SUSCRIPCIONES,1.0,158.0
408,2022-02-01,GERENCIA ADMON,1.0,28600.0
410,2022-02-01,COMISION BANCARIA,1.0,0.0
411,2022-02-01,TELEFONO,1.0,3470.2
412,2022-02-01,COMISION BANCARIA,1.0,22655.47
413,2022-02-01,GASOLINA,1.0,11605.24
415,2022-03-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
416,2022-03-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
418,2022-03-01,RENTA COPIADORA,1.0,0.0
419,2022-03-01,SUSCRIPCIONES,1.0,513.24
421,2022-03-01,CAPACITACION,1.0,5270.0
422,2022-03-01,HONORARIOS JURIDICOS,1.0,2964.61
423,2022-03-01,ANTICIPO COMPRA AUTO,1.0,5000.0
424,2022-03-01,COMISION MIXTA,1.0,25557.01
425,2022-03-01,COMISION BANCARIA,1.0,568.4
426,2022-03-01,COMISION BANCARIA,1.0,0.0
428,2022-03-01,SUSCRIPCIONES,1.0,-513.24
429,2022-03-01,MTTO COMPUTO,1.0,2900.0
433,2022-03-01,PAQUETERIA,1.0,0.0
434,2022-03-01,MTTO MAQUINARIA,1.0,4060.0
435,2022-03-01,PAQUETERIA,1.0,147.6
436,2022-03-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
437,2022-03-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
439,2022-03-01,NO DEDUCIBLE,1.0,2062.5
440,2022-03-01,ALIMENTOS,1.0,399.0
441,2022-03-01,COMISION BANCARIA,1.0,0.0
442,2022-03-01,COMISION BANCARIA,20.5212,0.0
445,2022-03-01,PAPELERIA,1.0,105.0
446,2022-03-01,PAQUETERIA,1.0,1684.35
449,2022-03-01,MTTO COMPUTO,1.0,438.48
450,2022-03-01,MONITOREO CAMARAS ADT,1.0,1498.7
451,2022-03-01,MONITOREO CAMARAS ADT,1.0,0.0
452,2022-03-01,GASOLINA,1.0,10348.0
453,2022-03-01,COMISION BANCARIA,1.0,0.0
457,2022-03-01,TELEFONO,1.0,19.97
458,2022-03-01,TELEFONO,1.0,4094.98
459,2022-03-01,ALIMENTOS,1.0,80.0
461,2022-03-01,ENERGIA ELECTRICA,1.0,0.0
465,2022-03-01,HONORARIOS CONTABLES,1.0,5100.01
469,2022-03-01,MTTO COMPUTO,1.0,329.44
479,2022-03-01,HONORARIOS JURIDICOS,1.0,2732.04
480,2022-03-01,ANTICIPO COMPRA AUTO,1.0,-5000.0
481,2022-03-01,MTTO COMPUTO,1.0,386.28
482,2022-03-01,COMISION MIXTA,1.0,23552.03
484,2022-03-01,MTTO COMPUTO,1.0,798.0
486,2022-03-01,MTTO OFICINA ,1.0,323.64
487,2022-03-01,PAPELERIA,1.0,1374.59
488,2022-03-01,PEAJES,1.0,320.0
489,2022-03-01,PEAJES,1.0,184.0
492,2022-03-01,PAQUETERIA,1.0,1100.79
495,2022-03-01,PAQUETERIA,1.0,138.85
498,2022-03-01,SUELDOS DIRECCION,1.0,44535.59
499,2022-03-01,PAQUETERIA,1.0,757.64
500,2022-03-01,PUBLICIDAD,1.0,1044.0
502,2022-03-01,ALIMENTOS,1.0,160.0
504,2022-03-01,NO DEDUCIBLE,1.0,3493.85
506,2022-03-01,MONITOREO CAMARAS ADT,1.0,58.02
507,2022-03-01,SUSCRIPCIONES,1.0,-158.0
509,2022-03-01,TELEFONO,1.0,0.0
512,2022-03-01,GASOLINA,1.0,1381.65
513,2022-03-01,ALIMENTOS,1.0,495.0
516,2022-03-01,ENERGIA ELECTRICA,1.0,6098.79
522,2022-03-01,HONORARIOS JURIDICOS,1.0,2875.65
523,2022-03-01,COMISION MIXTA,1.0,24790.13
525,2022-03-01,MTTO LOCAL,1.0,1500.09
526,2022-03-01,MTTO LOCAL,1.0,1715.3
527,2022-03-01,MTTO LOCAL,1.0,1430.28
528,2022-03-01,MTTO LOCAL,1.0,1221.33
530,2022-03-01,MTTO COMPUTO,1.0,7335.84
531,2022-03-01,GERENCIA ADMON,1.0,26693.32
532,2022-03-01,MTTO COMPUTO,1.0,580.0
534,2022-03-01,CAPACITACION,1.0,0.0
535,2022-03-01,MTTO LOCAL,1.0,1480.0
536,2022-03-01,MTTO LOCAL,1.0,1891.0
537,2022-03-01,MTTO LOCAL,1.0,750.0
538,2022-03-01,MTTO LOCAL,1.0,1610.0
539,2022-03-01,RENTA COPIADORA,1.0,2320.0
542,2022-03-01,DERECHOS,1.0,3643.0
543,2022-03-01,MTTO LOCAL,1.0,188.07
544,2022-03-01,MTTO LOCAL,1.0,1592.12
545,2022-03-01,MTTO LOCAL,1.0,1931.34
546,2022-03-01,MTTO LOCAL,1.0,1275.94
547,2022-03-01,PAQUETERIA,1.0,2367.33
548,2022-03-01,CAPACITACION,1.0,3480.0
550,2022-03-01,PAQUETERIA,1.0,0.0
551,2022-03-01,MTTO LOCAL,1.0,487.37
552,2022-03-01,MTTO LOCAL,1.0,483.67
555,2022-03-01,GASOLINA,1.0,978.02
556,2022-03-01,MTTO LOCAL,1.0,1480.0
557,2022-03-01,MTTO LOCAL,1.0,1480.0
559,2022-03-01,GASOLINA,1.0,1323.26
562,2022-03-01,MTTO LOCAL,1.0,1235.01
563,2022-03-01,MTTO LOCAL,1.0,1235.01
567,2022-03-01,MTTO LOCAL,1.0,422.65
568,2022-03-01,MTTO LOCAL,1.0,954.88
569,2022-03-01,MTTO LOCAL,1.0,238.58
570,2022-03-01,UNIFORMES,1.0,5092.63
571,2022-03-01,UNIFORMES,1.0,986.0
572,2022-03-01,UNIFORMES,1.0,3897.6
583,2022-03-01,HONORARIOS JURIDICOS,1.0,3008.85
584,2022-03-01,MTTO TRANSPORTE,1.0,-5000.0
587,2022-03-01,COMISION MIXTA,1.0,25938.46
589,2022-03-01,GASOLINA,1.0,10348.0
591,2022-03-01,MTTO LOCAL,1.0,134.05
592,2022-03-01,MTTO COMPUTO,1.0,0.0
594,2022-03-01,MTTO COMPUTO,1.0,250.0
595,2022-03-01,PAQUETERIA,1.0,0.0
599,2022-03-01,SUSCRIPCIONES,1.0,3861.0
600,2022-03-01,PAQUETERIA,1.0,0.0
605,2022-03-01,PAQUETERIA,1.0,314.44
613,2022-03-01,MTTO COMPUTO,1.0,3089.08
614,2022-03-01,TELEFONO,1.0,0.0
615,2022-03-01,NO DEDUCIBLE,1.0,2214.15
616,2022-03-01,NO DEDUCIBLE,1.0,3330.75
619,2022-03-01,MTTO LOCAL,1.0,696.0
620,2022-03-01,PAQUETERIA,1.0,1922.09
621,2022-03-01,TELEFONO,1.0,0.0
622,2022-03-01,TELEFONO,1.0,0.0
625,2022-03-01,PEAJES,1.0,320.0
626,2022-03-01,ALIMENTOS,1.0,200.0
627,2022-03-01,ENERGIA ELECTRICA,1.0,0.0
628,2022-03-01,PEAJES,1.0,184.0
631,2022-03-01,CASETAS,1.0,185.0
632,2022-03-01,PEAJES,1.0,344.0
633,2022-03-01,PEAJES,1.0,586.0
634,2022-03-01,MTTO TRANSPORTE,1.0,-1392.0
635,2022-03-01,MTTO TRANSPORTE,1.0,0.0
638,2022-03-01,MTTO LOCAL,1.0,355.3
642,2022-03-01,CASETAS,1.0,58.0
643,2022-03-01,UNIFORMES,1.0,4454.4
644,2022-03-01,HONORARIOS CONTABLES,1.0,5100.01
645,2022-03-01,MTTO LOCAL,1.0,68794.82
646,2022-03-01,MTTO LOCAL,1.0,8654.48
648,2022-03-01,GASOLINA,1.0,1387.46
650,2022-03-01,PEAJES,1.0,53.0
651,2022-03-01,DERECHOS,1.0,2561.0
652,2022-03-01,MTTO LOCAL,1.0,846.31
653,2022-03-01,IMSS/INFONAVIT,1.0,41017.4
654,2022-03-01,IMSS/INFONAVIT,1.0,49020.13
655,2022-03-01,TELEFONO,1.0,3470.2
658,2022-03-01,CREDITO ,1.0,4790.14
660,2022-03-01,PAQUETERIA,1.0,0.0
663,2022-03-01,HONORARIOS JURIDICOS,1.0,2839.62
664,2022-03-01,COMISION MIXTA,1.0,24479.52
666,2022-03-01,TELEFONO,1.0,0.0
671,2022-03-01,SEGUROS,1.0,42286.72
673,2022-03-01,ANTICIPO ,1.0,2310.72
677,2022-03-01,GERENCIA ADMON,1.0,28600.0
678,2022-03-01,PAQUETERIA,1.0,2127.52
680,2022-03-01,MTTO LOCAL,1.0,538.18
683,2022-03-01,COMISION BANCARIA,1.0,0.0
684,2022-03-01,COMISION BANCARIA,1.0,20438.45
686,2022-04-01,COMISION BANCARIA,1.0,568.4
687,2022-04-01,COMISION BANCARIA,1.0,0.0
689,2022-04-01,RENTA COPIADORA,1.0,0.0
691,2022-04-01,SUSCRIPCIONES,1.0,1484.08
692,2022-04-01,CAPACITACION,1.0,5270.0
694,2022-04-01,NO DEDUCIBLE,1.0,2467.6
695,2022-04-01,NO DEDUCIBLE,1.0,2780.85
696,2022-04-01,NO DEDUCIBLE,1.0,127.0
697,2022-04-01,SUSCRIPCIONES,1.0,-0.39
698,2022-04-01,SUSCRIPCIONES,1.0,-1483.69
699,2022-04-01,PAQUETERIA,1.0,0.0
700,2022-04-01,SEGUROS,1.0,1717.25
701,2022-04-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
702,2022-04-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
703,2022-04-01,NO DEDUCIBLE,1.0,165.0
705,2022-04-01,COMISION BANCARIA,1.0,0.0
706,2022-04-01,COMISION BANCARIA,19.8911,0.0
707,2022-04-01,TELEFONO,1.0,2640.13
710,2022-04-01,ALIMENTOS,1.0,399.0
712,2022-04-01,MTTO EQUIPO COMPUTO,1.0,1600.0
718,2022-04-01,PAPELERIA,1.0,149.0
719,2022-04-01,MTTO COMPUTO,1.0,918.0
720,2022-04-01,PAQUETERIA,1.0,0.0
721,2022-04-01,PAQUETERIA,1.0,138.86
722,2022-04-01,MTTO COMPUTO,1.0,438.48
725,2022-04-01,MONITOREO CAMARAS ADT,1.0,1539.3
726,2022-04-01,MONITOREO CAMARAS ADT,1.0,0.0
727,2022-04-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
728,2022-04-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
729,2022-04-01,CAPACITACION,1.0,5220.0
732,2022-04-01,MTTO COMPUTO,1.0,413.01
733,2022-04-01,COMISION BANCARIA,1.0,0.0
734,2022-04-01,MTTO COMPUTO,1.0,2900.0
741,2022-04-01,HONORARIOS JURIDICOS,1.0,2993.5
742,2022-04-01,MTTO COMPUTO,1.0,329.44
743,2022-04-01,COMISION MIXTA,1.0,25805.98
744,2022-04-01,ALIMENTOS,1.0,240.0
746,2022-04-01,SEGUROS,1.0,9575.07
747,2022-04-01,HONORARIOS CONTABLES,1.0,5100.01
753,2022-04-01,MONITOREO CAMARAS ADT,1.0,-58.02
756,2022-04-01,NO DEDUCIBLE,1.0,2279.22
757,2022-04-01,NO DEDUCIBLE,1.0,1124.28
760,2022-04-01,PAQUETERIA,1.0,2085.74
764,2022-04-01,ALIMENTOS,1.0,475.99
765,2022-04-01,SUELDOS DIRECCION,1.0,50271.13
770,2022-04-01,GASOLINA,1.0,10348.0
771,2022-04-01,MTTO COMPUTO,1.0,386.28
772,2022-04-01,PAQUETERIA,1.0,0.0
775,2022-04-01,HONORARIOS JURIDICOS,1.0,3573.51
776,2022-04-01,PAQUETERIA,1.0,0.0
777,2022-04-01,COMISION MIXTA,1.0,30806.1
778,2022-04-01,MTTO LOCAL,1.0,544.2
779,2022-04-01,NO DEDUCIBLE,1.0,364.0
780,2022-04-01,NO DEDUCIBLE,1.0,3326.25
781,2022-04-01,SUSCRIPCIONES,1.0,2000.0
785,2022-04-01,ALIMENTOS,1.0,120.0
786,2022-04-01,ENERGIA ELECTRICA,1.0,6258.4
788,2022-04-01,GERENCIA ADMON,1.0,22880.0
792,2022-04-01,TELEFONO,1.0,0.0
793,2022-04-01,MENSAJERIA,1.0,254.45
798,2022-04-01,SEGUROS,1.0,0.0
800,2022-04-01,MTTO COMPUTO,1.0,7335.84
801,2022-04-01,RENTA COPIADORA,1.0,2320.0
805,2022-04-01,CREDITO ,1.0,1775.73
806,2022-04-01,MTTO TRANSPORTE,1.0,532.3
807,2022-04-01,CAPACITACION,1.0,0.0
808,2022-04-01,HONORARIOS JURIDICOS,1.0,2936.83
809,2022-04-01,PAQUETERIA,1.0,138.86
810,2022-04-01,SUBCONTRATOS,1.0,13560.4
811,2022-04-01,COMISION MIXTA,1.0,25317.5
815,2022-04-01,NO DEDUCIBLE,1.0,94.0
816,2022-04-01,NO DEDUCIBLE,1.0,565.8
817,2022-04-01,NO DEDUCIBLE,1.0,1426.27
818,2022-04-01,PAQUETERIA,1.0,1434.47
819,2022-04-01,DERECHOS,1.0,3437.0
820,2022-04-01,SEGUROS,1.0,0.0
825,2022-04-01,PAQUETERIA,1.0,3008.12
830,2022-04-01,PAQUETERIA,1.0,0.0
834,2022-04-01,ALIMENTOS,1.0,120.0
835,2022-04-01,GASOLINA,1.0,1412.73
836,2022-04-01,TELEFONO,1.0,0.0
838,2022-04-01,TELEFONO,1.0,0.0
839,2022-04-01,NO DEDUCIBLE,1.0,749.0
840,2022-04-01,NO DEDUCIBLE,1.0,3454.65
841,2022-04-01,NO DEDUCIBLE,1.0,-539.0
851,2022-04-01,PAQUETERIA,1.0,0.0
855,2022-04-01,HONORARIOS JURIDICOS,1.0,2960.8
856,2022-04-01,MTTO COMPUTO,1.0,3089.08
857,2022-04-01,COMISION MIXTA,1.0,25524.14
860,2022-04-01,MENSAJERIA,1.0,500.0
861,2022-04-01,CAPACITACION,1.0,1067.2
866,2022-04-01,PAQUETERIA,1.0,1599.92
868,2022-04-01,ENERGIA ELECTRICA,1.0,0.0
869,2022-04-01,TELEFONO,1.0,3022.15
870,2022-04-01,GERENCIA ADMON,1.0,28599.99
876,2022-04-01,PAPELERIA,1.0,70.7
880,2022-04-01,ALIMENTOS,1.0,120.0
882,2022-04-01,SEGUROS,1.0,0.0
883,2022-04-01,IMSS/INFONAVIT,1.0,23689.36
884,2022-04-01,CAPACITACION,1.0,9598.65
885,2022-04-01,COMISION BANCARIA,1.0,0.0
886,2022-04-01,GASOLINA,1.0,12293.35
887,2022-04-01,COMISION BANCARIA,1.0,22098.41
888,2022-05-01,SUSCRIPCIONES,1.0,551.82
890,2022-05-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
891,2022-05-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
892,2022-05-01,COMISION BANCARIA,1.0,568.4
893,2022-05-01,COMISION BANCARIA,1.0,0.0
894,2022-05-01,MTTO LOCAL,1.0,245.77
897,2022-05-01,SUSCRIPCIONES,1.0,-3.07
898,2022-05-01,SUSCRIPCIONES,1.0,-544.05
899,2022-05-01,SUSCRIPCIONES,1.0,-4.7
900,2022-05-01,MTTO COMPUTO,1.0,3712.0
903,2022-05-01,SEGUROS,1.0,1717.25
904,2022-05-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
905,2022-05-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
907,2022-05-01,ARRENDAMIENTO LOCAL,1.0,24786.66
909,2022-05-01,COMISION BANCARIA,1.0,0.0
